название;ссылка;цена;адрес;описание
2-комн. апарт., 70,05 м, 6/9 этаж;https://krym.cian.ru/sale/flat/227843869/;15 300 000 ;Республика КрымЯлтаулица Игнатенко9;ВОЗМОЖНА РАССРОЧКА!!! В продаже апартамент в новом жилом комплексе Ялта-Плаза в центральной части города. Общая площадь апартамента 70,05 м2. Внутрен. площадь 60  м2, Балкон 10,44 м2, Расположен на 6-м этаже 9- ти этажного дома. Большой балкон с видом на море, Ялтинскую бухту и город Ялту. Апартаменты продаются без отделки. ЖК представляет собой 9-ти этажное здание со своей инфраструктурой:спа, спорт зал, магазины, паркинг. Рядом Массандровский пляж. Набережная Ялты в 3 минутах.
1-комн. кв., 54,5 м, 1/3 этаж;https://krym.cian.ru/sale/flat/248570787/;10 500 000 ;Республика КрымЯлтапереулок Черноморский6;Продаётся 1 ккв. в старинном доме (купца Маркуса Исаевича Гофшнейдера) общей площадью 54,5 м2 на пер. Черноморском. 1 этаж 3 этажного дома. Квартира с ремонтом, мебелью и техникой. Прекрасное предложение курортной недвижимости в непосредственной близости к набережной Ялты (всего 115 шагов).
3-комн. кв., 85 м, 2/9 этаж;https://krym.cian.ru/sale/flat/238334732/;10 500 000 ;Республика КрымЯлтаулица Дзержинского39;"Продается трехкомнатная квартира в Ялте по ул. Дзержинского ,  Новый дом с выходом в парковую зону.Общая 85 кв..м., три спальни .кухня-столовая, просторный коридор, сан.узел раздельный. В квартире сделан новый качественный ремонт. Из всех комнат открывается великолепный вид на горы, Ялту. Из одной спальни балкон выходит с видом на парк. Новый дом, ухоженная придомовая территория, детская площадка. До Набережной 15 минут пешком. До рынка 10 минут пешком.
Стоимость : 10 500 000 рублей торг"
Своб. планировка, 52,9 м, 6/10 этаж;https://krym.cian.ru/sale/flat/232487416/;10 580 000 ;Республика КрымЯлтаулица Дражинского48;"Застройщик продаёт апартаменты в новом элитном доме.
Люксовый сегмент, дом расположен в уникальной локации, которой больше в Ялте нет. Смешение  горного и морского воздуха. Массандровский Царский парк с территорией 44 га (самый большой парк Ялты) в 30-ти метрах, где реликтовые деревья и кустарники со всего света. Пруд. Море в 80-ти метрах. Общий пляж с отелем Ялта-Интурист, где вся линейка ресторанов и кафе, от бургерных до премиум-сегмента. 
 Территория абсолютно закрытая, охраняемая. Чужим вход воспрещён. Всё по чипу, ворота, двери. 2 группы лифтов. Свой подземный паркинг.  Своя круглогодичная котельная. Постоянно горячая вода и отопление. Так же на территории расположена зона отдыха и детская площадка. В 200 метрах от дома на территории отеля Ялта-Интурист находится зоопарк, аквапарк, бассейн с морской водой, СПА - по разовому дневному абонементу. И все это по разумным деньгам. Успейте купить!"
1-комн. апарт., 67 м, 11/17 этаж;https://krym.cian.ru/sale/flat/225610182/;10 800 000 ;Республика КрымЯлтаулица Ломоносова25;"68м2 - 10,8 млн руб!!!! 11 этаж!!
Клубный дом Солярис расположен центре г.Ялты, в нижней ее части, в районе кинотеатра Спартак.
В клубном доме Солярис удачные планировки, с красивыми видами из окна каждой комнаты, площадь апартаментов от 35 до 165 кв. метров. 
Клубный дом Солярис это идеальный дом для жизни в Ялте:
- Центре города;
- Закрытая парковая зона;
- Видеонаблюдение по периметру;
- Парковка;
- Открытый бассейн 25м который снабжен современной системой фильтрации, окружен шезлонгами, зонтами и кипарисами и работает около 150 дней в году."
2-комн. кв., 76,4 м, 3/9 этаж;https://krym.cian.ru/sale/flat/244808337/;11 765 290 ;Республика КрымЯлтаулица Щорса40;"На продажу выставлена квартира  с панорамным видом на море и Ялту. Квартира находится на третьем этаже девявятиэтажного современного  жилого комплекса. 
Площадь квартиры 76,4 квм. Строгий классический  интерьер и добротная  мебель, дорогая сантехника. Квартира  включает:
 холл, гостиную с выходом на просторный балкон, с которого открывается великолепный панорамный вид на Ялту,  море и горы. В гостиной есть всё для комфортного пребывания там, включая большой стильный электрокамин.  
Спальня, из  больших  окон которой  виден  величественный горный хребет и пик Ай-Петри.  Также из этой  комнаты видна детская современная игровая площадка, что немаловажно для семей с детьми. Кухня -столовая полностью меблированная и укомплектованная. Элетроплита, 2 холодильника и всё необходимое. Раздельный санузел, душевая.  
Индивидуальный электрокотел, бойлер.  В каждой комнате сплит-система кондиционирования. 

Прекрасная квартира с великолепным дизайном и качественной отделкой подойдет как для отдыха, так и для круглогодичного проживания. Городская  инфраструктура в пешей доступности.  Центральная набережная Ялты в 5 минутах езды на авто или в 15 минутах пешим шагом. Комплекс находится под охраной. На его территории автопарковка, детская площадка. Одним словом, есть всё необходимое для комфортного проживания в городе Ялта.   
Дом введен в эксплуатацию в 2012 году, квартиру закончили в 2015 году.  В ней практически никто не жил. Квартира не сдавалась."
3-комн. кв., 57,6 м, 1/3 этаж;https://krym.cian.ru/sale/flat/229556702/;12 000 000 ;Республика КрымЯлтаулица Карла Маркса17;"Предлагаем к продаже трехкомнатную квартиру по ул. Карла Маркса в доме 1951 года постройки, проект Сталинка.

Квартира состоит из двух спален, гостиной, кухни, застекленной веранды, балкона и совмещенного санузла. 

Сделан ремонт в 2016 г. использовались качественные материалы, паркетная доска, напольная и настенная плитка (Италия), на стенах и потолке выполнена лепнина. Кухня укомплектована мебелью, оснащена техникой Smeg. Установлен газовый котел. 

Закрытая территория дома. Рядом кинотеатр I-MAX, торговый центр Дом торговли, городская площадь Советская. 

Прогулка к морю и набережной города, займет 4-5 мин."
2-комн. апарт., 85 м, 6/9 этаж;https://krym.cian.ru/sale/flat/242759256/;12 000 000 ;Республика КрымЯлтаулица Игнатенко;"Предлагаем квартиру от застройщика. 
85 кв м с балконом. 
Вид море
Ялта-Плаза - современный комплекс апартаментов оригинальной архитектуры с панорамным остеклением и витражными алюминиевыми конструкциями, который расположен в историческом центре города Ялта, всего в 70 метрах от Массандровских пляжей и в 140 метрах от начала Ялтинской набережной.

Основные характеристики комплекса:

9-этажное здание с офисными помещениями на 1-ом этаже и двухэтажными пентхаусами с прекрасным видом на море и горы102 апартамента индивидуальной планировки площадью от 56 до 177 кв.м (с возможностью совмещения), высота потолков от 3-3,4 м
фасад здания, напольное покрытие холла 1-го этажа и стены отделаны натуральным камнем
Алюминиевые оконные системы гарантируют прекрасную шумоизоляцию и теплоизоляцию Установлены системы кондиционирования и вентиляции
Собственная газовая котельная Wessex фирмы Hamworth Heating Ltd (Великобритания), которая гарантирует бесперебойное снабжение квартир теплом и постоянное наличие горячей водыПассажирские лифты фирмы OTIS со спуском в подземную парковкуВ каждом апартаменте кабельное телевидение, возможность подключения телефонного номера и выделенная линия Internet
Установлены охранные системы.

Инфраструктура. 
детская игровая площадка
бассейн
магазины
тренажерный зал

сдача объекта 4 квартал 2020 г"
2-комн. кв., 90 м, 7/8 этаж;https://krym.cian.ru/sale/flat/245531217/;12 000 000 ;Республика КрымЯлтапроезд Парковый5В;"Шикарная квартира в Приморском парке с завершённой отделкой.
Квартира полностью готова к заезду и проживанию, укомплектована ванная комната и кухня.
Просторный балкон позволяет потенциально сделать еще одну спальню.
В квартире есть поточный свет и настенные светильники.
Натуральная доска пола.

Вид из квартиры в Приморский парк и расположен на высоком седьмом этаже.
Жилой комплекс ""Омега"" является одним из самых качественно построенных домов в Приморском парке, высокий уровень отделки общественных помещений, лифты Otis."
4-комн. кв., 118 м, 3/3 этаж;https://krym.cian.ru/sale/flat/212082841/;12 500 000 ;Республика КрымЯлтаулица Игнатенко2;На 3-м эаже 3-х этажного дома продам просторную квартиру с 3-мя изолированными спальнями, гостиной, кухней-столовой, просторной ванной комнатой с Ванной, душевой, биде. В квартире удобные двухспальные кровати, в гостинной мягкий уголок, вся бытовая техника, кондиционеры, холодильник, стиральная машинка, СВЧ, посудомойка, вся необходимая посуда, постельные принадлежности. Есть просторная терраса для комфортного отдыха, с сушкой для белья, окна выходят в тихий двор и на праковку для машины.  Рядом с домом развлечения, магазины, столовые, массандровские пляжи в 200 метрах, набережная в 50 метрах. Звоните, бронируйте!
3-комн. кв., 105 м, 2/2 этаж;https://krym.cian.ru/sale/flat/235119261/;13 000 000 ;Республика КрымЯлтаулица Балаклавская1;Продаю квартиру в центральном районе г. Ялта, 10 минут автовокзал, 10 минут набережная, 15 минут пешком массандровский пляж. Очень уютный тихий центр, есть двор, фруктовые деревья, инжир, хумра, виноград. Своя тераса.
3-комн. кв., 84 м, 2/10 этаж;https://krym.cian.ru/sale/flat/192922780/;13 250 000 ;Республика КрымЯлтаулица Щорса;"Продается шикарная 3-х комнатная квартира с дизайнерским ремонтом, площадью 84 кв. метра в ЖСК Южный берег.
Планировка:
- Прихожая
- Сан узел с ванной и биде
- Большая кухня столовая с зоной отдыха
- Детская комната
- Спальня
Удобства:
- Дизайнерский ремонт выполнен из дорогостоящих материалов
- Дорогостоящая и комфортная мебель
- Бытовая техника от ведущих производителей
Плюсы приобретения:
- Элитный комплекс в центральной части Ялты
- До центральной набережной Ялты 10 минут пешком
- Вид из окна на горы
- Соотношение цены, качества и полезной площади
- Развитая инфраструктура
- Документы РФ, полностью готовы к сделке
О Комплексе:
ЖСК Южный берег - это комфортабельный жилой комплекс, состоящий из элитных домов на большой закрытой территории. 
У кооператива есть своя инфраструктура, в которую входит: детская площадка, бассейн, коммунальная служба, магазин, аптека, различные офисные помещения, 
фитнесс-центр премиум класса и ресторан авторской кухни. В шаговой доступности рестораны, канатная дорога, набережная Ялты, лучшие школы города и детский сад.
Супермаркеты различной направленности и рынок в 5 минутах езды от комплекса.
Стоимость 175 000$ Торг уместен!"
2-комн. апарт., 50,2 м, 4/4 этаж;https://krym.cian.ru/sale/flat/243751538/;13 500 000 ;Республика КрымЯлтанабережная Имени В.И. Ленина13;"Выставлены на продажу двухуровневые апартаменты в уникальном историческом здании Ялты Президент-отеля Таврида.  Апартаменты  общей площадью  50,2 квм включают в себя холл, гостиную с зоной для кухни и санузел. Весь второй уровень занимает интересно выполненная спальня. Из окон гостиной открывается вид на Набережную и море. Апартаменты находятся  последнем этаже четырёхэтажного здания. Стильный интерьер, где главенствуют дерево и камень. В отделке использованы дорогие материалы.  Добротная дорогая мебель.  Высота потолков 4 метра. 
Отопление апартаментов - автономная газовая котельная здания.  

Отель Таврида  одно из уникальных городских строений, являющееся историко-архитектурным памятником города, некогда входившим в число лучших гранд-отелей Европы (бывшая гостиница Россия, была в своё время самой фешенебельной в городе). Отель был построен в 1875 году по проекту архитектора А.К. Винберга под руководством А.Е. Струве и А.Л. Врангеля.
С открытием в 1873 году железной дороги, соединившей Севастополь и Симферополь с центральной частью России, город Ялта и весь Южный  берег Крыма стал модным курортом русской аристократии. Отель посещали выдающиеся деятели науки и культуры: Шаляпин, Бунин, Боткин, Римский-Корсаков, Немирович-Данченко, Станиславский, Чехов, Маяковский, Некрасов, Мусоргский, Щепкин и многие другие. Сегодня у вас есть возможность стать собственником апартаментов в этом уникальном отеле.  

В 2005 году Президент-отель Таврида был отреставрирован, сохранив при этом исторический колорит здания. Фасад отеля украшен чудесными колоннами, роскошными просторными террасами и верандами. Все апартаменты гостиницы являются частными, на первом этаже расположены салон красоты, массажный кабинет, стоматологическая клиника и другие виды услуг.
Обновлённый  Президент-отель Таврида  это венецианские дворики (атриумы) с мраморными фонтанами, роскошный фасад с колоннами, прозрачный свод кровли, стены толщиной 1,2 м, потолки высотой до 4 м, просторные террасы и веранды, мансарда со стеклянными фонарями, мраморные лестницы с кованым ограждением и уникальные скульптуры.
 
Локация отеля идеальна. Рядом с отелем расположены:
 В 50 м  прогулочная набережная Ялты, причал для яхт, где вы можете взять в аренду яхту, либо совершить прогулку в другие уголки Южного берега на теплоходе;
 Здание отеля, как и вся центральная часть города, расположены у подножия холма Дарсан. На вершину холма можно подняться на канатной дороге, с которой открывается вид на всю Ялту и море. Нижняя станция канатной дороги расположена прямо около входа в отель. На холме разместился ресторан и смотровая площадка.  
 Кофейни, кафе и рестораны  в шаговой доступности;
 Городской пляж (бесплатный) рядом.  Также в 10 минутах ходьбы расположен Массандровский пляж с лучшей инфраструктурой и зоной для променада на всём полуострове.  
Покупка апартаментов в Президент-отеле Таврида - это не только статус, но и надежная инвестиция в будущее!"
3-комн. апарт., 94 м, 6/14 этаж;https://krym.cian.ru/sale/flat/225615947/;13 400 000 ;Республика КрымЯлтаулица Щорса20;"3х комнатная Щорса,20 (ЖК ВЕРШИНА УСПЕХА)
Общая площадь квартиры 94м2, расположена на 6-м этаже 14-ти этажного дома.
13 400 000р
две раздельные спальни (одна с балконом открытым - другая с закрытым)
2 санузла раздельных! (в одном душевая , в другом ванная) 
+ отдельный большой зал
+ кухня студия 
видовая квартира
 консьерж - охрана 
 лифт ""ОТИС"" - грузовой и пассажирский 
 Парковка - паркинг или Парковка на территории
 Бесплатный Wi-Fi 
Расстояние:
Магазины - 500м
Детская площадка - 550м
отопление собственная котельная в доме 
парковка
парк 
На территории комплекса круглосуточная охрана с видеонаблюдением, паркинг и стоянка, консьерж.
Рядом с домом круглосуточный магазин, игровая детская площадка, детский сад, остановка общественного транспорта.
В 10-ти минутах пешей прогулки располагается набережная Ялты и различная инфраструктура города."
3-комн. кв., 170 м, 1/2 этаж;https://krym.cian.ru/sale/flat/245381853/;14 000 000 ;Республика КрымЯлтаулица Павленко5;"Продается в старинном особняке, времен царской постройки, с высокими потолками домовладение на ул. Павленко, центр города, состоящий из 3 строений, общей площадью 170 м. кВ.
 Основная квартира 75, 2 м.кв состоит из 2 жилых комнат, 2 санузла, застекленная терраса с видом на море, большая просторная кухня гостинная. Высокие 4 метровые потолки.
Второе строение- летняя кухня по документам, площадью 53,3  м. кВ, представляет собой отдельностоящее строение с отдельным входом, своей придомовой территорией, используется для сдачи в аренду как 2  1 ккв с отдельными санузлами, с видом на море.
Третье строение-хозблок площадью 41, 6 м. кВ, расположено в самой нижней части двора, имеет закрытое помещение со вторым светом. Жилое состояние, есть санузел.
Все эти варианты находятся на одних документах. В собственности у одного человека. Продажа целиком. Удобный вариант для ведения хозяйства и сдачи в аренду. Все автономно и изолировано от соседей. Цена 14000 000 рублей , из расчета ."
1-комн. апарт., 48,8 м, 3/9 этаж;https://krym.cian.ru/sale/flat/221623171/;14 497 874 ;Республика КрымЯлтаулица Екатерининская3;"1-но ком. апартаменты номер 8 на 3 этаже. Общей площадью 89,7кв.м. (Площадь Апартамента 48,8кв.м.+Терраса 40,9кв.м.), Стоимость 191 000 $.                                                                                                                                
  Продаются Элитные апартаменты г. Ялта, ул. Екатерининская, 3
Гостиничный комплекс ""Дом композитора""- это  гостиничный комплекс находящийся на знаменитой Ялтинской Набережной.
Он гармонично соединяет в себе старинную архитектуру (дом композитора  А.А.Спендиарова ) и современную роскошь  нового элитного дома. Из окон  которого открывается чудесный вид на Ялту  море, побережье.
В  доме имеется атриум с панорамным лифтом,  открытый бассейн на высоте 27 метров. Это настоящее архитектурное чудо, весь город открывается перед вами, как на ладони. Здесь вы будете любоваться красотой моря и наслаждаться благами жизни."
2-комн. апарт., 118 м, 11/14 этаж;https://krym.cian.ru/sale/flat/225616023/;15 750 000 ;Республика КрымЯлтаулица Щорса20;"15 750 000 руб - 118м2 общ в ЖК ВЕРШИНА УСПЕХА - ул Щорса
11 эт
продается квартира с итальянской мебелью и немецкой техникой
состоящая из большой кухни студии и отдельной спальни
большой санузел (с ванной и душевой)
В комплексе работает консьерж-служба, ухоженная придомовая территория, закрытый паркинг 
Класс объекта: элит
Этажей в комплексе: 14
Тип конструкции: монолитно-каркасная
Облицовка: газоблок
Тип используемого утепления: пенопластовые блоки
Отопление: автономное
Полная высота этажа: 3 м
Дом сдан в 2009 году
До центра города и Набережной 10 минут пешком. 
В 200 метрах остановка общественного транспорта, продуктовый магазин. 
Прекрасный вариант как для постоянного проживания, так и для комфортного отдыха."
2-комн. кв., 37,6 м, 3/3 этаж;https://krym.cian.ru/sale/flat/182539583/;10 000 000 ;Республика КрымЯлтаулица Чехова14;Солнечная ,с видом на горы и море квартира в старинном доходном доме с парадной .  Уютная, благоустроенная,не сдавалась в аренду. Собственник . Никто не прописан. Полная сумма в договоре.  Возможен  вариант обмена на квартиру в Москве или земельный участок в Подмосковье у воды. Поспедников убедительно просим не беспокоить.
2-комн. кв., 108,56 м, 8/10 этаж;https://krym.cian.ru/sale/flat/244254402/;10 313 000 ;Республика КрымЯлтаулица Свердлова48Ак6;Продаётся шикарная квартира с панорамным видом на море и горы. 8 этаж 10-этажного жилого дома EGOISTE. Дом расположен в 100 м от парка в районе Массандры. Чистый воздух, хорошие подъездные пути, 2-уровневый паркинг в цокольном этаже здания. Дом заселен, документы РФ. Квартира общей площадью 108,56 м2 под отделку. Все перегородки в квартире можно сделать/убрать по собственному усмотрению. Большая кухня-столовая, балкон площадью 29 м2. Окна и инженерные системы - Rehau, индивидуальное отопление в каждой квартире.
2-комн. кв., 78,2 м, 3/6 этаж;https://krym.cian.ru/sale/flat/232959362/;13 000 000 ;Республика КрымЯлтаулица Средне-Слободская17;"Продам квартиру у моря, с видом на море, город и горы.
Общая площадь, фактическая, 86 м, без отделки.
Выполнена планировка, под отделку с панорамными окнами, высота помещений 3,5 м. Зал -25 м, кв.  спальня - 20 м. кв.  кухня -12 м. кв.  с/у -8 м. кв.  коридор -16 м. кв.   Имеется подсобное помещение в цоколе дома 6 м. кв. В квартире разводка под автономный двухконтурный газовый котел и газовую плиту (установлен газовый счетчик) заведены вода, электричество (установлен счетчик), домофон, высокоскоростной интернет, кабельное ТВ. До моря и Массандровского пляжа 100 метров. Набережная Ялты в шаговой доступности 5-7 минут. Вся необходимая инфраструктура в шаговой доступности.  Свободная, прямая  продажа. Один взрослый собственник, физ. и юр. свободна. Инвестирование более 5 лет, полная сумма в ДКП. Оперативный показ."
2-комн. кв., 108,6 м, 10/12 этаж;https://krym.cian.ru/sale/flat/224531025/;13 300 000 ;Республика КрымЯлтаулица Московская33а;"ПРОДАЖА ОТ СОБСТВЕННИКА.  Состояние квартиры под чистовую отделку. Высота потолков 2.5м. Установлена входная металлическая дверь. В доме два лифта: OTIS пассажирский и грузопассажирский. Также на крыше установлена газовая котельная. Дом 2009 года постройки, круглосуточная охрана территории, отличные подъездные пути. На первом этаже дома представительство Президента РФ в Крыму.Рядом с домом - парковка. В пешей пятиминутной доступности с домом находятся рынок, супермаркет, магазины, школа, парк. К пляжу 10 мин. пешего шага по ровной местности.
Обслуживание 24 руб/м2."
3-комн. кв., 115 м, 1/3 этаж;https://krym.cian.ru/sale/flat/225756698/;10 300 000 ;Республика КрымЯлтаулица Архивная;Продаётся 3к.кв. + отдельно стоящий танхаус, в 5 минутах ходьбы от набережной, ровное место, без горок и подъёмов, автономное отопление, квартира разделена на 2 квартиры 2к.кв.и 1к.кв. + двух этажный танхаус, хорошо подходит для бизнеса, что актуально для нашего города.
3-комн. кв., 83,5 м, 2/9 этаж;https://krym.cian.ru/sale/flat/239346234/;10 500 000 ;Республика КрымЯлтаулица Дзержинского23;Продается трехкомнатная квартира в Ялте по ул. Дзержинского. Дом новой постройки 2004 г. Закрытая ухоженная придомовая территория площадью 0,39 га. Квартира расположена на 2 этаже девятиэтажного дома. Общая площадь 85 кв.м. (без учета балкона). Планировка: три изолированные спальни (25/13,9/12,1), кухня-столовая 13,8 кв.м., просторный коридор 13,3 кв.м., раздельный санузел. К квартире относится так же две кладовые. В квартире сделан новый качественный ремонт. Никто не жил. Двухконтурный газовый котел. АГВ (трубы медные). Полы с подогревом. Немецкая сантехника. Из одной спальни выход на балкон, с которого открывается вид на парк санатория Министерства обороны. Чистый воздух. До Набережной 15 минут пешком. До рынка 10 минут пешком.
1-комн. кв., 39 м, 8/20 этаж;https://krym.cian.ru/sale/flat/196191571/;15 000 000 ;Республика КрымЯлтанабережная Имени В.И. Ленина4;"Продается 1 к. квартира-студия с евро ремонтом полностью укомплектованная мебелью и техникой в ЖК "" Лотос"" набережная Ленина д.4 в Приморском парке. Вся инфраструктура в шаговой доступности. С террасы открывается отличный вид на море и набережную Ялты. В 100 метрах находится пляж, парк для отдыха. Вся мебель и бытовая техника включена в стоимость. В шаговой доступности рестораны,СПА-центр, теннисные корты,тренажерный зал,салоны красоты,боулинг,кинотеатры и т.д. В доме охрана и консьерж. Это лучшее предложение для комфортного отдыха или постоянной жизни,благодаря уютному,стильному интерьеру, который будет располагать к приятному времяпровождению."
1-комн. апарт., 65 м, 1/16 этаж;https://krym.cian.ru/sale/flat/231760585/;12 429 460 ;Республика КрымЯлтаПриморский парк имени Гагарина кв-л10;"ID 1388
ВНИМАНИЕ!!!
Продаются 1-комнатные апартаменты в жилом комплексе У ЧЁРНОГО МОРЯ на 1 этаже общей площадью 65,5 кв.м., в площадь балкон не включен.
Комплекс возведен в 2012 году в парке имени Гагарина и состоит из 16-ти этажей. Рядом расположен SPA-центр, панорамный ресторан, а также отели Ореанда и Левант. 
К Вашим услугам вся необходимая инфраструктура:
- в нескольких шагах от здания расположен оборудованный галечный пляж;
- в нижних этажах расположен 3-х уровневый паркинг на 26 машиномест;
- высокий уровень безопасности обеспечивает круглосуточная охрана  и  видео наблюдение по периметру здания;
- служба Консьерж-сервис.
Новые квартиры в Приморском парке, спроектированные по новейшим технологиям. В комплексе система резервного электроснабжения, индивидуальное отопление через электро-котлы.
Ежемесячное содержание 60 /кв.м.
Апартаменты в Ялте S=65,5 кв.м. за 163 750 долларов США.
ЗВОНИТЕ!"
2-комн. кв., 140 м, 2/3 этаж;https://krym.cian.ru/sale/flat/244611884/;10 626 714 ;Республика КрымЯлтаулица Севастопольская5;"До 21 января связь на Вотсап, Вайбер и в сообщениях!!!

Квартира у набережной Ялты!
Для ценителей бутовых толстых стен и высоченных потолков (3,6м).

Расположена в тихом закрытом дворе, зона отдыха, барбекю, парковка и кодовый замок.

Расположена на 2м этаже, с 2-мя спальнями, гостиной, кухней, раздельным санузлом и террасой. 

Отопление за счет двухконтурного газового котла, плита газовая. 
Состояние жилое, ухоженное. 

Вся столярка в квартире деревянная выполнена в одном стиле из массива дерева. 
Подъезд закрывается на ключ, отапливаемый. 

Спальни с каминами, которые можно привести должный вид и эксплуатировать. 

Документы РФ
Сделка нотариально
Расчет через ячейку
140тыс уе"
3-комн. кв., 105 м, 6/10 этаж;https://krym.cian.ru/sale/flat/243993969/;13 800 000 ;Республика КрымЯлтаулица Загородная17Б;"90 м2 + 2 терассы 15м2
Гардероб
2 санузла
Мебель Италия"
2-комн. кв., 84 м, 2/3 этаж;https://krym.cian.ru/sale/flat/246997033/;10 651 213 ;Республика КрымЯлтаулица Севастопольская5;"Продаётся великолепная 2-х комнатная квартира, в историческом центре Ялты, по ул.Севастопольская 5.
Квартира расположена на 2-м этаже 3 этажного жилого дома. Общая площадь включая террасу 102   кв. м. Панорамные окна квартиры выходят во двор. Планировка: прихожая, две  спальни, кухня, раздельный санузел. Дом бутовый, толщина стен 80 см, высокие потолки 3.6 метра, окна выполнены из массива дерева.
В квартире выполнен качественный ремонт в светлых тонах. В каждой комнате кондиционер, отопление от собственного газового котла (плита газовая). Квартира продаётся с мебелью и техникой 
Дом расположен в центре города, но при этом не стоит у дороги. Тишина и спокойствие. Инфраструктура района: школы, садики, стадион, кофейни, рестораны, хозяйственный и продуктовый магазины, аптека и другие необходимые для комфортной жизни центры. До МОРЯ и Набережной Ялты 3 минут пешком по ровной местности.Цена 140.000 долларов"
3-комн. кв., 83 м, 4/9 этаж;https://krym.cian.ru/sale/flat/250063112/;10 460 000 ;Республика КрымЯлтаулица Кирова21;"Продается 3 комнатная квартира в центре г Ялта по ул. Кирова. Квартира расположена на 3 этаже 9-этажного дома. (серия домов ЮБК). Состояние жилое. Общая площадь 82,3 кв м. Квартира состоит из 3-х   изолированных комнат ( 17,5 кв.м  13,3 кв.м и 12,2 кв.  все три комнаты окна  во двор), балкона, раздельного санузла с ванной комнатой, просторной кухни. В квартире Автономное отопление (2-х контурный котел). В шаговой доступности находятся два детских сада, школа и остановка общественного
транспорта. До моря и Набережной, до ближайшего супермаркета и Пушкинского рынка 9 остановка Спартак  - 5 -7 минут пешком."
1-комн. кв., 52 м, 4/14 этаж;https://krym.cian.ru/sale/flat/241569369/;12 000 000 ;Республика КрымЯлтаулица Карла Маркса18А;"ЖК БРИГАНТИНА 

Kвapтиpа в жилом комплeксе премиaльногo урoвня ""Бpигaнтина"", в центрe Ялты, 150 м дo мopя и нaбepежной. Кoмплекс oснaщeн современным оборудoвaнием: 

-aвтoномная газовaя котельнaя; 

-пpитoчнo-вытяжная вeнтиляция; 

-кoндициoнирование; 

-все тeлекoммуникaции (интеpнет, телeфoния, cпутникoвoе TВ); 

-лифты ОТIS; 

Прекрaсный панорамный вид на горы и море. Рассрочка, акции (на официальном сайте ЖК Вы можете более подробно ознакомиться с условиями)."
